,CENEFA,Longitud,Latitud
17670,564A08,-74.1557,4.62371
17671,106A08,-74.1538,4.6233
17672,195A08,-74.152,4.6253769999999985
17673,190A08,-74.1512,4.626228
17674,196A08,-74.1493,4.628307
17675,058A07,-74.1442,4.631476
17676,079A07,-74.1468,4.633483
17677,084A07,-74.1438,4.63548
17678,076A07,-74.1419,4.637665
17679,075A07,-74.1404,4.640669
17680,074A07,-74.1368,4.639842
17681,106A07,-74.1318,4.644233
17682,331A07,-74.1304,4.645673
17683,073A07,-74.1246,4.64599
17684,041A07,-74.1239,4.642659
17685,020A07,-74.123,4.640532
17686,340A07,-74.12100000000002,4.638857
17687,235A06,-74.1137,4.635717
17688,263A06,-74.1145,4.6388120000000015
17689,127D06,-74.1139,4.6414040000000005
17690,068D06,-74.1121,4.643144
17691,128D06,-74.1099,4.6453940000000005
17699,124B05,-74.0865,4.676153
17705,170B03,-74.0709,4.689222
17706,171B03,-74.069,4.68945
17707,165B03,-74.0664,4.6891050000000005
17708,001B00,-74.0641,4.688532
17709,211B00,-74.0601,4.687337
17710,212B00,-74.0531,4.685864
17711,292A00,-74.0524,4.684449
17712,293A00,-74.0521,4.684599
17713,315A01,-74.0518,4.686767
17714,314A01,-74.0509,4.691731
17715,313A01,-74.0505,4.694435
17716,312A01,-74.0501,4.696976
17717,311A01,-74.0494,4.700824
17718,310A01,-74.0489,4.704054
17719,032A01,-74.0483,4.7076720000000005
17720,672A01,,
17721,030A01,-74.0475,4.713825
17722,029A01,-74.047,4.716899
